District,Province,Year,Setting,Pass_Rate_Pct,Number_of_Students,Number_of_Schools,Pupil_Teacher_Ratio,Textbook_Availability_Index,ICT_Resource_Index,School_Infrastructure_Index,Proportion_Schools_With_Science_Labs,Poverty_Incidence_Pct,Adult_Literacy_Rate_Pct,Unemployment_Rate_Pct,Avg_Household_Income_USD,Youth_Population_Density,Rural_Urban,Distance_to_Exam_Center_km,Previous_Year_Pass_Rate_Pct,Grade7_Pass_Rate_Pct
Mutare Urban,Manicaland,2016,November,85.8,35827,118,21.5,0.78,0.74,0.81,0.8,27.4,95.4,16.6,344.0,380.2,Urban,3.6,77.6,79.2
Mutare Urban,Manicaland,2017,June,75.9,20057,119,21.3,0.8,0.74,0.8,0.81,27.8,96.1,17.8,355.0,380.1,Urban,3.5,85.8,78.4
Mutare Urban,Manicaland,2017,November,83.9,37704,119,21.4,0.84,0.77,0.81,0.83,27.4,97.0,19.6,338.0,375.0,Urban,3.6,75.9,79.8
Mutare Urban,Manicaland,2018,June,80.2,20515,120,21.3,0.8,0.74,0.79,0.82,26.0,97.2,15.4,363.0,398.8,Urban,3.4,83.9,78.6
Mutare Urban,Manicaland,2018,November,85.6,36838,121,22.3,0.83,0.79,0.83,0.85,26.8,96.5,19.4,333.0,387.6,Urban,3.4,80.2,76.5
Mutare Urban,Manicaland,2019,June,82.2,20733,121,22.2,0.82,0.81,0.79,0.79,26.1,97.0,16.3,357.0,409.6,Urban,3.5,85.6,78.1
Mutare Urban,Manicaland,2019,November,81.6,37053,122,22.5,0.87,0.8,0.84,0.82,25.9,95.4,16.2,372.0,392.7,Urban,3.4,82.2,76.3
Mutare Urban,Manicaland,2020,June,76.6,20544,123,23.0,0.81,0.87,0.82,0.81,30.1,95.0,24.6,303.0,408.1,Urban,3.3,81.6,75.1
Mutare Urban,Manicaland,2020,November,82.2,38728,123,23.0,0.78,0.82,0.81,0.84,31.6,94.9,24.8,303.0,396.1,Urban,3.5,76.6,76.9
Mutare Urban,Manicaland,2021,June,75.7,20496,122,22.3,0.85,0.82,0.86,0.86,29.9,95.5,24.6,307.0,394.7,Urban,3.4,82.2,73.2
Mutare Urban,Manicaland,2021,November,80.6,39440,124,22.6,0.86,0.84,0.86,0.81,30.0,98.6,21.9,312.0,405.3,Urban,3.3,75.7,74.4
Mutare Urban,Manicaland,2022,June,81.3,21591,124,20.3,0.91,0.94,0.85,0.86,25.2,95.6,19.5,361.0,423.8,Urban,3.3,80.6,78.3
Mutare Urban,Manicaland,2022,November,84.7,39098,124,21.8,0.84,0.92,0.85,0.84,25.3,95.1,18.6,403.0,422.7,Urban,3.3,81.3,79.0
Mutare Urban,Manicaland,2023,June,79.3,22099,125,20.5,0.9,0.93,0.84,0.88,24.3,96.6,17.7,378.0,429.4,Urban,3.3,84.7,77.1
Mutare Urban,Manicaland,2023,November,83.7,39688,125,20.5,0.91,0.95,0.83,0.87,25.1,95.5,19.1,380.0,424.9,Urban,3.3,79.3,78.4
Mutare Urban,Manicaland,2024,June,80.4,21937,126,20.9,0.86,0.95,0.86,0.86,25.1,96.5,16.9,376.0,406.4,Urban,3.4,83.7,80.9
Mutare Urban,Manicaland,2024,November,91.0,41330,125,20.4,0.89,0.9,0.89,0.88,23.8,96.4,18.3,416.0,428.6,Urban,3.3,80.4,79.7
Mutare Rural,Manicaland,2015,June,39.8,1435,6,38.7,0.21,0.08,0.23,0.23,83.6,79.9,49.3,128.0,19.6,Rural,39.8,38.5,29.7
Mutare Rural,Manicaland,2015,November,43.3,2787,6,38.0,0.21,0.08,0.22,0.24,78.9,78.5,52.6,122.0,18.5,Rural,37.4,39.8,32.7
Mutare Rural,Manicaland,2016,June,42.7,1462,6,39.2,0.21,0.09,0.24,0.26,83.1,79.0,48.4,125.0,19.3,Rural,36.6,43.3,30.4
Mutare Rural,Manicaland,2016,November,48.5,2836,5,38.4,0.22,0.09,0.23,0.25,80.5,78.8,49.8,130.0,19.1,Rural,35.9,42.7,33.3
Mutare Rural,Manicaland,2017,June,39.7,1519,6,38.4,0.23,0.11,0.25,0.27,77.5,78.8,49.1,134.0,19.1,Rural,38.9,48.5,29.9
Mutare Rural,Manicaland,2017,November,48.7,2753,6,38.3,0.23,0.12,0.24,0.27,82.0,80.1,49.7,131.0,19.3,Rural,37.4,39.7,31.9
Mutare Rural,Manicaland,2018,June,41.3,1507,6,37.9,0.25,0.13,0.25,0.26,83.3,79.8,51.0,126.0,20.1,Rural,35.7,48.7,33.1
Mutare Rural,Manicaland,2018,November,50.5,2910,6,38.0,0.26,0.13,0.25,0.26,82.4,78.3,46.7,134.0,20.3,Rural,36.9,41.3,31.2
Mutare Rural,Manicaland,2019,June,46.0,1597,6,36.2,0.25,0.16,0.27,0.29,76.7,78.9,52.2,134.0,19.4,Rural,35.6,50.5,35.7
Mutare Rural,Manicaland,2019,November,49.0,2849,6,38.4,0.26,0.16,0.26,0.28,79.4,79.6,49.4,136.0,20.5,Rural,38.1,46.0,35.6
Mutare Rural,Manicaland,2020,June,39.6,1556,6,38.2,0.25,0.17,0.27,0.28,86.7,79.1,54.7,114.0,20.9,Rural,35.6,49.0,30.9
Mutare Rural,Manicaland,2020,November,41.9,2937,6,39.6,0.24,0.16,0.27,0.29,83.6,78.9,55.7,120.0,20.1,Rural,36.3,39.6,29.4
Mutare Rural,Manicaland,2021,June,40.2,1651,6,40.3,0.24,0.18,0.27,0.3,84.2,79.1,56.7,119.0,21.0,Rural,36.6,41.9,30.6
Mutare Rural,Manicaland,2021,November,47.3,3051,6,40.4,0.26,0.18,0.3,0.28,82.5,79.4,55.2,116.0,20.8,Rural,37.0,40.2,29.1
Mutare Rural,Manicaland,2022,June,44.4,1665,6,36.0,0.3,0.27,0.28,0.29,80.7,82.0,53.4,145.0,21.4,Rural,35.0,47.3,33.7
Mutare Rural,Manicaland,2022,November,50.4,2979,6,35.6,0.29,0.24,0.3,0.3,77.5,79.2,51.7,141.0,21.2,Rural,34.1,44.4,31.2
Mutare Rural,Manicaland,2023,June,42.9,1616,6,34.7,0.3,0.29,0.32,0.32,79.0,82.1,50.0,144.0,20.6,Rural,33.9,50.4,32.3
Mutare Rural,Manicaland,2023,November,51.0,3151,6,36.6,0.32,0.28,0.3,0.32,79.0,80.8,52.6,150.0,20.6,Rural,34.2,42.9,31.3
Mutare Rural,Manicaland,2024,June,45.9,1672,6,34.4,0.31,0.28,0.31,0.32,78.3,82.5,50.7,140.0,22.0,Rural,35.7,51.0,36.1
Mutare Rural,Manicaland,2024,November,54.0,3121,6,36.0,0.32,0.28,0.31,0.31,75.4,80.5,51.1,150.0,21.8,Rural,33.7,45.9,33.3
Mutasa,Manicaland,2015,June,20.9,1784,26,44.9,0.33,0.14,0.43,0.13,65.8,70.0,51.4,116.0,61.2,Rural,20.1,18.7,53.6
Mutasa,Manicaland,2015,November,25.0,3282,26,43.9,0.33,0.14,0.44,0.14,65.4,69.5,50.8,114.0,60.3,Rural,20.4,20.9,55.2
Mutasa,Manicaland,2016,June,22.0,1753,26,42.9,0.34,0.16,0.45,0.14,67.1,70.5,51.2,116.0,59.4,Rural,20.2,25.0,54.0
Mutasa,Manicaland,2016,November,27.8,3417,26,45.1,0.32,0.16,0.46,0.13,66.3,69.5,50.6,120.0,58.3,Rural,20.5,22.0,52.6
Mutasa,Manicaland,2017,June,23.8,1796,26,44.0,0.34,0.18,0.44,0.15,65.5,68.6,46.7,119.0,59.9,Rural,19.1,27.8,55.5
Mutasa,Manicaland,2017,November,28.4,3433,26,42.5,0.34,0.18,0.46,0.15,64.2,70.4,50.7,128.0,59.0,Rural,20.0,23.8,53.1
Mutasa,Manicaland,2018,June,24.9,1881,26,42.3,0.35,0.19,0.46,0.16,61.4,71.2,49.9,127.0,60.4,Rural,19.5,28.4,55.4
Mutasa,Manicaland,2018,November,29.0,3448,26,42.4,0.34,0.18,0.47,0.16,65.0,69.9,50.2,131.0,60.3,Rural,20.1,24.9,53.0
Mutasa,Manicaland,2019,June,26.1,1822,26,44.1,0.37,0.22,0.46,0.16,61.4,70.8,48.7,125.0,63.4,Rural,18.3,29.0,57.2
Mutasa,Manicaland,2019,November,29.3,3517,26,43.7,0.36,0.2,0.48,0.17,62.6,71.4,49.7,122.0,60.7,Rural,19.2,26.1,53.1
Mutasa,Manicaland,2020,June,17.6,1926,27,45.7,0.37,0.24,0.47,0.18,69.3,69.3,52.1,106.0,65.6,Rural,19.6,29.3,54.3
Mutasa,Manicaland,2020,November,23.3,3531,27,46.6,0.34,0.23,0.5,0.17,67.0,69.7,55.5,114.0,62.9,Rural,19.7,17.6,49.0
Mutasa,Manicaland,2021,June,19.8,1963,27,44.5,0.34,0.24,0.49,0.19,70.5,70.0,57.3,111.0,63.8,Rural,19.0,23.3,50.8
Mutasa,Manicaland,2021,November,24.3,3630,27,44.2,0.35,0.24,0.48,0.18,65.9,69.1,56.8,107.0,62.9,Rural,18.9,19.8,55.5
Mutasa,Manicaland,2022,June,24.1,1903,27,41.7,0.4,0.33,0.49,0.2,62.9,71.7,51.4,143.0,62.9,Rural,19.2,24.3,57.6
Mutasa,Manicaland,2022,November,30.4,3636,27,42.0,0.39,0.3,0.49,0.18,62.5,70.1,52.6,136.0,63.1,Rural,18.0,24.1,56.7
Mutasa,Manicaland,2023,June,24.1,1989,27,39.7,0.43,0.31,0.52,0.19,60.0,71.4,49.8,145.0,64.8,Rural,17.6,30.4,55.6
Mutasa,Manicaland,2023,November,30.4,3627,27,41.1,0.42,0.32,0.51,0.2,62.6,72.1,47.3,134.0,64.6,Rural,18.8,24.1,58.6
Mutasa,Manicaland,2024,June,27.3,1986,27,39.4,0.42,0.35,0.53,0.2,60.9,71.0,49.9,143.0,66.5,Rural,18.1,30.4,58.6
Mutasa,Manicaland,2024,November,32.0,3808,28,39.8,0.43,0.35,0.54,0.2,61.6,72.2,47.1,144.0,64.8,Rural,19.0,27.3,58.2
Nyanga,Manicaland,2015,June,14.0,3247,17,55.5,0.19,0.02,0.45,0.29,75.6,68.2,38.7,53.0,9.1,Rural,55.3,15.3,46.1
Nyanga,Manicaland,2015,November,18.6,6011,17,56.8,0.19,0.02,0.43,0.28,75.2,67.2,41.0,56.0,9.3,Rural,57.0,14.0,45.3
Nyanga,Manicaland,2016,June,16.2,3174,17,54.8,0.2,0.04,0.43,0.3,74.1,66.9,37.8,54.0,8.8,Rural,56.3,18.6,43.7
Nyanga,Manicaland,2016,November,22.0,5926,18,55.1,0.21,0.04,0.44,0.29,72.1,68.5,37.4,56.0,8.8,Rural,55.5,16.2,45.8
Nyanga,Manicaland,2017,June,17.3,3237,18,54.2,0.23,0.05,0.45,0.3,72.9,69.5,40.7,53.0,9.1,Rural,54.6,22.0,44.8
Nyanga,Manicaland,2017,November,22.8,5998,18,54.7,0.23,0.06,0.46,0.29,74.1,68.3,39.7,58.0,8.9,Rural,55.4,17.3,47.2
Nyanga,Manicaland,2018,June,18.7,3323,18,53.6,0.24,0.08,0.48,0.3,75.2,67.7,40.4,53.0,9.3,Rural,59.1,22.8,47.0
Nyanga,Manicaland,2018,November,23.1,6284,18,55.3,0.24,0.08,0.47,0.3,73.2,69.5,40.0,53.0,9.3,Rural,58.4,18.7,46.4
Nyanga,Manicaland,2019,June,19.0,3334,18,54.5,0.26,0.09,0.48,0.31,72.1,67.8,41.8,60.0,9.2,Rural,56.9,23.1,46.1
Nyanga,Manicaland,2019,November,24.0,6186,18,53.1,0.24,0.09,0.46,0.31,76.3,69.8,41.4,55.0,9.2,Rural,57.9,19.0,46.1
Nyanga,Manicaland,2020,June,12.1,3332,18,55.5,0.22,0.11,0.48,0.31,77.4,69.3,47.3,49.0,9.6,Rural,58.5,24.0,43.5
Nyanga,Manicaland,2020,November,18.2,6469,18,58.3,0.23,0.11,0.49,0.32,76.0,70.1,50.0,47.0,9.2,Rural,53.3,12.1,44.7
Nyanga,Manicaland,2021,June,13.8,3444,18,56.4,0.24,0.14,0.49,0.35,77.0,68.9,48.5,50.0,9.8,Rural,53.3,18.2,43.3
Nyanga,Manicaland,2021,November,19.5,6276,19,56.4,0.23,0.13,0.5,0.33,80.1,68.1,42.5,51.0,9.4,Rural,56.1,13.8,43.3
Nyanga,Manicaland,2022,June,17.6,3439,19,52.9,0.29,0.18,0.5,0.33,74.6,68.3,43.1,62.0,9.4,Rural,52.9,19.5,47.1
Nyanga,Manicaland,2022,November,22.6,6457,19,54.1,0.3,0.19,0.51,0.33,69.9,68.9,43.5,59.0,10.0,Rural,57.3,17.6,47.1
Nyanga,Manicaland,2023,June,19.9,3624,19,51.4,0.28,0.22,0.5,0.33,74.9,68.6,38.4,65.0,9.9,Rural,53.2,22.6,49.5
Nyanga,Manicaland,2023,November,24.3,6599,19,53.6,0.28,0.22,0.53,0.36,72.5,68.4,39.9,60.0,9.8,Rural,56.2,19.9,47.5
Nyanga,Manicaland,2024,June,21.8,3613,19,51.9,0.29,0.24,0.53,0.34,68.9,70.1,41.5,66.0,10.2,Rural,56.1,24.3,50.6
Nyanga,Manicaland,2024,November,26.1,6559,19,51.4,0.3,0.23,0.54,0.35,68.9,68.6,43.8,60.0,9.8,Rural,55.0,21.8,50.1
Bindura,Mashonaland Central,2015,June,45.9,4891,28,30.2,0.48,0.38,0.65,0.28,40.4,85.3,25.1,268.0,167.7,Semi-Urban,11.0,43.4,51.5
Bindura,Mashonaland Central,2015,November,55.1,8868,28,31.3,0.51,0.38,0.65,0.26,39.8,83.7,25.5,247.0,157.4,Semi-Urban,10.4,45.9,49.3
Bindura,Mashonaland Central,2016,June,49.3,4778,28,31.0,0.51,0.41,0.66,0.29,37.3,83.4,29.6,269.0,164.3,Semi-Urban,10.3,55.1,52.7
Bindura,Mashonaland Central,2016,November,52.7,9036,28,31.7,0.51,0.42,0.64,0.27,38.5,83.2,27.6,250.0,168.3,Semi-Urban,10.3,49.3,51.0
Bindura,Mashonaland Central,2017,June,47.8,4994,28,29.9,0.52,0.41,0.64,0.29,36.7,85.4,28.8,254.0,167.4,Semi-Urban,10.0,52.7,51.7
Bindura,Mashonaland Central,2017,November,53.6,9312,28,31.8,0.52,0.41,0.67,0.28,39.2,83.8,27.5,274.0,167.9,Semi-Urban,11.0,47.8,53.6
Bindura,Mashonaland Central,2018,June,52.7,4967,28,29.2,0.52,0.44,0.69,0.29,36.7,84.0,28.9,265.0,169.0,Semi-Urban,9.9,53.6,54.1
Bindura,Mashonaland Central,2018,November,57.1,9482,28,29.8,0.56,0.45,0.67,0.29,38.7,83.3,27.5,272.0,169.4,Semi-Urban,10.0,52.7,53.6
Bindura,Mashonaland Central,2019,June,52.6,5121,29,30.1,0.57,0.46,0.66,0.31,38.5,83.8,26.2,284.0,173.5,Semi-Urban,9.8,57.1,52.5
Bindura,Mashonaland Central,2019,November,54.1,9259,29,30.5,0.54,0.47,0.7,0.31,36.2,86.3,28.8,271.0,173.2,Semi-Urban,9.9,52.6,52.8
Bindura,Mashonaland Central,2020,June,44.8,5295,28,32.8,0.54,0.48,0.71,0.32,40.9,84.5,32.5,251.0,176.7,Semi-Urban,10.5,54.1,47.0
Bindura,Mashonaland Central,2020,November,50.9,9860,29,33.4,0.55,0.5,0.66,0.32,42.0,83.7,32.1,249.0,177.7,Semi-Urban,10.4,44.8,50.2
Bindura,Mashonaland Central,2021,June,43.8,5346,29,31.9,0.56,0.47,0.72,0.32,41.0,84.7,31.6,241.0,174.8,Semi-Urban,10.1,50.9,50.6
Bindura,Mashonaland Central,2021,November,50.8,9814,29,32.9,0.53,0.49,0.67,0.33,42.9,83.6,32.6,232.0,173.0,Semi-Urban,10.4,43.8,52.8
Bindura,Mashonaland Central,2022,June,50.4,5268,29,30.2,0.56,0.56,0.69,0.34,35.4,86.7,26.8,309.0,181.2,Semi-Urban,10.5,50.8,53.2
Bindura,Mashonaland Central,2022,November,53.4,9996,29,30.2,0.61,0.56,0.69,0.31,35.5,83.7,25.7,289.0,170.5,Semi-Urban,9.7,50.4,51.8
Bindura,Mashonaland Central,2023,June,51.7,5361,29,28.9,0.59,0.58,0.71,0.32,35.0,84.6,27.4,304.0,181.1,Semi-Urban,9.7,53.4,54.2
Bindura,Mashonaland Central,2023,November,55.9,10096,29,29.7,0.57,0.57,0.72,0.33,34.3,86.7,25.6,291.0,173.7,Semi-Urban,10.3,51.7,54.3
Bindura,Mashonaland Central,2024,June,50.5,5373,30,29.5,0.6,0.58,0.7,0.34,34.4,84.7,24.2,317.0,172.3,Semi-Urban,10.3,55.9,57.5
Bindura,Mashonaland Central,2024,November,56.8,9943,29,30.1,0.63,0.56,0.75,0.33,35.3,86.4,26.7,285.0,182.0,Semi-Urban,10.3,50.5,52.7
Centenary,Mashonaland Central,2015,June,26.4,2979,15,52.7,0.18,0.24,0.32,0.1,69.4,79.4,53.7,126.0,57.0,Rural,40.2,27.7,57.1
Centenary,Mashonaland Central,2015,November,32.1,5510,14,50.7,0.19,0.24,0.34,0.1,69.9,78.6,53.4,122.0,57.5,Rural,39.9,26.4,56.8
Centenary,Mashonaland Central,2016,June,27.1,2882,15,52.3,0.21,0.25,0.35,0.11,72.1,78.2,54.1,118.0,57.2,Rural,41.0,32.1,59.0
Centenary,Mashonaland Central,2016,November,34.3,5445,15,52.6,0.21,0.28,0.33,0.11,69.5,77.9,55.3,128.0,54.7,Rural,39.8,27.1,55.8
Centenary,Mashonaland Central,2017,June,28.1,3074,15,50.8,0.21,0.28,0.35,0.12,71.5,79.3,52.7,131.0,59.6,Rural,41.7,34.3,57.2
Centenary,Mashonaland Central,2017,November,35.2,5493,15,49.6,0.21,0.29,0.36,0.11,69.9,79.2,53.3,119.0,56.5,Rural,39.7,28.1,57.9
Centenary,Mashonaland Central,2018,June,28.3,2967,15,51.0,0.23,0.32,0.37,0.13,73.6,79.6,53.8,124.0,60.2,Rural,41.8,35.2,55.2
Centenary,Mashonaland Central,2018,November,34.6,5734,15,51.4,0.22,0.3,0.35,0.13,71.2,78.1,51.3,135.0,56.1,Rural,38.3,28.3,55.4
Centenary,Mashonaland Central,2019,June,32.9,3154,15,52.0,0.23,0.33,0.36,0.13,68.8,79.1,55.5,123.0,59.8,Rural,41.1,34.6,56.9
Centenary,Mashonaland Central,2019,November,37.7,5862,15,50.7,0.23,0.32,0.37,0.13,71.3,80.4,54.9,135.0,56.6,Rural,41.4,32.9,59.9
Centenary,Mashonaland Central,2020,June,24.1,3201,15,52.0,0.22,0.33,0.39,0.14,75.3,78.2,58.4,114.0,59.9,Rural,41.0,37.7,55.7
Centenary,Mashonaland Central,2020,November,29.3,5732,15,53.7,0.23,0.33,0.37,0.15,77.9,79.4,58.4,115.0,60.3,Rural,37.8,24.1,54.8
Centenary,Mashonaland Central,2021,June,25.1,3188,15,52.9,0.23,0.35,0.37,0.15,76.2,79.8,56.2,120.0,61.1,Rural,39.9,29.3,57.4
Centenary,Mashonaland Central,2021,November,32.3,5753,15,55.3,0.24,0.35,0.39,0.16,72.7,78.8,57.8,114.0,58.5,Rural,39.8,25.1,53.3
Centenary,Mashonaland Central,2022,June,29.3,3175,15,47.0,0.28,0.4,0.41,0.16,71.8,81.5,51.7,133.0,62.8,Rural,37.9,32.3,55.6
Centenary,Mashonaland Central,2022,November,36.0,5999,15,48.2,0.27,0.45,0.39,0.15,67.8,79.6,54.2,131.0,62.8,Rural,39.5,29.3,56.1
Centenary,Mashonaland Central,2023,June,31.5,3328,16,49.2,0.28,0.43,0.41,0.17,67.8,81.7,52.7,148.0,62.3,Rural,37.3,36.0,57.3
Centenary,Mashonaland Central,2023,November,37.0,5943,15,49.9,0.3,0.45,0.4,0.17,68.5,79.2,51.1,147.0,60.6,Rural,38.7,31.5,58.8
Centenary,Mashonaland Central,2024,June,31.3,3304,16,47.3,0.29,0.44,0.43,0.17,71.1,81.2,52.2,149.0,62.8,Rural,37.6,37.0,57.8
Centenary,Mashonaland Central,2024,November,38.4,5983,16,47.4,0.3,0.45,0.42,0.18,70.7,79.6,52.3,138.0,60.1,Rural,37.5,31.3,61.0
Guruve,Mashonaland Central,2015,June,16.1,1297,23,45.0,0.37,0.11,0.14,0.17,75.0,69.9,44.7,105.0,17.0,Rural,31.7,13.6,45.2
Guruve,Mashonaland Central,2015,November,20.9,2305,24,46.5,0.38,0.11,0.15,0.17,77.6,69.3,43.1,105.0,16.7,Rural,31.8,16.1,41.3
Guruve,Mashonaland Central,2016,June,18.0,1275,23,45.4,0.4,0.12,0.16,0.18,76.1,69.5,46.3,107.0,17.0,Rural,30.9,20.9,44.5
Guruve,Mashonaland Central,2016,November,21.0,2471,24,47.9,0.39,0.13,0.14,0.18,78.4,70.6,47.0,102.0,17.4,Rural,31.4,18.0,45.2
Guruve,Mashonaland Central,2017,June,19.3,1302,24,45.2,0.42,0.15,0.17,0.18,72.7,68.6,48.3,114.0,17.0,Rural,31.4,21.0,43.3
Guruve,Mashonaland Central,2017,November,23.1,2495,24,44.3,0.4,0.14,0.16,0.18,75.8,70.9,45.6,108.0,17.5,Rural,30.9,19.3,44.8
Guruve,Mashonaland Central,2018,June,19.8,1368,24,45.3,0.41,0.17,0.17,0.2,75.1,69.8,43.5,117.0,17.7,Rural,30.3,23.1,45.3
Guruve,Mashonaland Central,2018,November,25.1,2524,24,46.3,0.41,0.16,0.17,0.2,76.3,70.1,42.1,117.0,17.0,Rural,29.8,19.8,43.5
Guruve,Mashonaland Central,2019,June,20.5,1381,24,44.2,0.41,0.17,0.18,0.21,74.5,69.3,45.0,120.0,17.7,Rural,29.6,25.1,44.8
Guruve,Mashonaland Central,2019,November,26.0,2551,24,45.3,0.42,0.17,0.18,0.2,72.8,71.5,43.7,116.0,16.9,Rural,29.4,20.5,43.5
Guruve,Mashonaland Central,2020,June,13.7,1407,25,50.0,0.43,0.2,0.2,0.22,78.8,69.3,51.7,95.0,17.2,Rural,29.1,26.0,43.7
Guruve,Mashonaland Central,2020,November,18.4,2567,25,47.2,0.42,0.19,0.19,0.22,81.4,71.4,48.2,95.0,17.7,Rural,28.8,13.7,38.7
Guruve,Mashonaland Central,2021,June,15.4,1371,25,49.0,0.44,0.22,0.19,0.22,81.1,69.9,54.0,102.0,17.5,Rural,30.5,18.4,39.4
Guruve,Mashonaland Central,2021,November,20.4,2533,25,46.9,0.42,0.22,0.2,0.23,79.3,71.3,50.1,103.0,17.2,Rural,28.5,15.4,39.0
Guruve,Mashonaland Central,2022,June,20.6,1410,25,43.4,0.46,0.29,0.21,0.24,73.4,70.9,43.5,115.0,17.3,Rural,28.4,20.4,46.9
Guruve,Mashonaland Central,2022,November,24.4,2575,25,43.3,0.46,0.29,0.22,0.24,71.3,71.8,43.8,115.0,18.2,Rural,27.6,20.6,43.9
Guruve,Mashonaland Central,2023,June,21.4,1439,25,45.4,0.5,0.31,0.22,0.25,75.2,70.2,45.9,121.0,18.2,Rural,28.1,24.4,44.5
Guruve,Mashonaland Central,2023,November,27.8,2668,25,42.9,0.49,0.31,0.22,0.23,75.2,71.9,43.9,117.0,18.2,Rural,28.6,21.4,48.1
Guruve,Mashonaland Central,2024,June,22.1,1420,25,44.7,0.48,0.31,0.23,0.24,73.2,71.0,44.9,125.0,18.7,Rural,27.2,27.8,45.9
Guruve,Mashonaland Central,2024,November,26.6,2671,25,42.0,0.48,0.3,0.23,0.25,72.1,72.5,47.0,123.0,18.1,Rural,28.0,22.1,43.4
Mazowe,Mashonaland Central,2015,June,27.1,1212,25,57.6,0.39,0.25,0.29,0.07,60.8,64.1,50.8,39.0,40.5,Rural,37.3,25.7,40.4
Mazowe,Mashonaland Central,2015,November,30.5,2194,24,57.6,0.37,0.23,0.3,0.07,64.6,63.7,54.3,41.0,41.0,Rural,38.1,27.1,38.6
Mazowe,Mashonaland Central,2016,June,26.1,1204,24,58.3,0.4,0.25,0.32,0.09,61.7,64.6,54.3,42.0,42.5,Rural,37.9,30.5,39.8
Mazowe,Mashonaland Central,2016,November,33.7,2191,25,58.2,0.41,0.26,0.3,0.08,61.3,64.2,54.6,39.0,40.1,Rural,36.1,26.1,43.9
Mazowe,Mashonaland Central,2017,June,27.3,1208,25,54.3,0.41,0.29,0.31,0.09,59.3,66.0,52.4,44.0,43.5,Rural,37.0,33.7,42.0
Mazowe,Mashonaland Central,2017,November,33.6,2276,25,54.2,0.41,0.27,0.31,0.09,60.7,64.4,52.0,43.0,42.8,Rural,35.1,27.3,40.6
Mazowe,Mashonaland Central,2018,June,29.3,1249,25,57.0,0.4,0.28,0.32,0.1,62.2,65.0,54.3,45.0,42.6,Rural,35.5,33.6,43.8
Mazowe,Mashonaland Central,2018,November,34.6,2334,25,56.8,0.42,0.29,0.33,0.1,61.3,66.5,52.2,45.0,41.3,Rural,37.4,29.3,40.9
Mazowe,Mashonaland Central,2019,June,31.7,1270,25,53.4,0.41,0.31,0.33,0.11,62.5,65.6,53.3,46.0,41.9,Rural,37.4,34.6,42.9
Mazowe,Mashonaland Central,2019,November,35.6,2305,25,56.4,0.44,0.31,0.33,0.11,63.0,67.0,53.9,43.0,42.0,Rural,37.4,31.7,42.4
Mazowe,Mashonaland Central,2020,June,23.9,1289,25,60.6,0.41,0.32,0.35,0.12,67.0,65.9,59.5,40.0,43.1,Rural,34.4,35.6,37.9
Mazowe,Mashonaland Central,2020,November,30.6,2323,25,58.5,0.4,0.34,0.34,0.11,65.8,66.8,59.2,39.0,44.9,Rural,34.3,23.9,42.2
Mazowe,Mashonaland Central,2021,June,26.3,1310,26,60.2,0.4,0.34,0.36,0.12,63.9,66.9,57.3,39.0,42.4,Rural,34.7,30.6,42.3
Mazowe,Mashonaland Central,2021,November,29.1,2357,25,59.9,0.4,0.33,0.35,0.12,66.2,65.4,62.1,41.0,43.6,Rural,36.3,26.3,39.8
Mazowe,Mashonaland Central,2022,June,29.6,1288,26,55.6,0.45,0.4,0.36,0.13,57.7,65.8,53.4,49.0,43.7,Rural,33.8,29.1,43.0
Mazowe,Mashonaland Central,2022,November,34.0,2468,26,53.6,0.45,0.4,0.35,0.13,58.5,67.2,52.4,45.0,43.8,Rural,34.1,29.6,45.2
Mazowe,Mashonaland Central,2023,June,31.7,1306,26,52.7,0.47,0.44,0.39,0.14,59.9,66.6,55.5,45.0,43.2,Rural,34.2,34.0,42.1
Mazowe,Mashonaland Central,2023,November,36.9,2473,26,52.3,0.48,0.43,0.38,0.14,57.2,66.4,55.0,48.0,46.1,Rural,33.4,31.7,41.1
Mazowe,Mashonaland Central,2024,June,33.3,1337,26,54.6,0.48,0.44,0.39,0.14,58.1,65.7,52.6,50.0,45.0,Rural,34.7,36.9,46.7
Mazowe,Mashonaland Central,2024,November,38.1,2513,26,54.7,0.47,0.45,0.4,0.15,58.7,66.0,50.4,46.0,46.8,Rural,33.7,33.3,45.9
Mount Darwin,Mashonaland Central,2015,June,21.2,1948,27,56.9,0.16,0.24,0.17,0.22,59.1,73.0,41.0,110.0,43.8,Rural,23.4,20.0,41.2
Mount Darwin,Mashonaland Central,2015,November,26.3,3627,26,57.0,0.18,0.24,0.18,0.24,58.6,72.1,42.4,110.0,44.1,Rural,23.1,21.2,41.5
Mount Darwin,Mashonaland Central,2016,June,23.2,1897,27,57.5,0.19,0.25,0.18,0.25,62.2,74.8,45.9,120.0,45.2,Rural,22.8,26.3,39.7
Mount Darwin,Mashonaland Central,2016,November,28.1,3648,27,56.4,0.18,0.27,0.19,0.23,58.5,73.6,40.3,120.0,43.7,Rural,22.4,23.2,40.4
Mount Darwin,Mashonaland Central,2017,June,24.3,1943,27,55.6,0.19,0.25,0.19,0.24,61.1,73.1,42.4,119.0,45.3,Rural,23.1,28.1,38.1
Mount Darwin,Mashonaland Central,2017,November,27.4,3607,27,56.4,0.2,0.26,0.2,0.25,59.7,72.8,43.5,118.0,45.6,Rural,22.3,24.3,38.2
